phi,theta,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
1.2,-3.9269908169872414,-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,8.670348444977986e-17,0.6754631805511511,-9.908969651403412e-17
1.2,-3.9269908169872414,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.675463180551151,-1.1147590857828839e-16
1.2,-3.9269908169872414,-3.9269908169872414,2.1170000166126752,2.1170000166126752,2.1170000166126752,8.670348444977982e-17,0.675463180551151,6.19310603212713e-17
1.2,-3.9269908169872414,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,4.954484825701706e-17,0.675463180551151,-6.193106032127133e-17
1.2,-3.9269908169872414,-2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511511,-1.2386212064254266e-16
1.2,-3.9269908169872414,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,4.954484825701706e-17,0.675463180551151,-6.193106032127133e-17
1.2,-3.9269908169872414,-0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511511,-1.2386212064254266e-16
1.2,-3.9269908169872414,0.0,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,-3.9269908169872414,0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511511,1.2386212064254266e-16
1.2,-3.9269908169872414,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,4.954484825701706e-17,0.675463180551151,6.193106032127133e-17
1.2,-3.9269908169872414,2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511511,1.2386212064254266e-16
1.2,-3.9269908169872414,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,4.954484825701706e-17,0.675463180551151,6.193106032127133e-17
1.2,-3.9269908169872414,3.9269908169872414,2.1170000166126752,2.1170000166126752,2.1170000166126752,8.670348444977982e-17,0.6754631805511508,-6.19310603212713e-17
1.2,-3.9269908169872414,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.675463180551151,1.1147590857828839e-16
1.2,-3.9269908169872414,5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,8.670348444977986e-17,0.6754631805511511,9.908969651403412e-17
1.2,-3.9269908169872414,6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.675463180551151,-8.670348444977986e-17
1.2,-3.141592653589793,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.512660360378747e-32,0.675463180551151,0.0
1.2,-3.141592653589793,-5.497787143782138,2.1170000166126743,2.1170000166126743,2.1170000166126743,-6.193106032127135e-17,0.6754631805511512,0.0
1.2,-3.141592653589793,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,0.675463180551151,1.6501749385949968e-32
1.2,-3.141592653589793,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.675463180551151,4.954484825701706e-17
1.2,-3.141592653589793,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,0.675463180551151,5.500583128649989e-33
1.2,-3.141592653589793,-2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-3.141592653589793,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,7.563301801893735e-33
1.2,-3.141592653589793,-0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-3.141592653589793,0.0,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,0.675463180551151,0.0
1.2,-3.141592653589793,0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-3.141592653589793,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,-7.563301801893735e-33
1.2,-3.141592653589793,2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-3.141592653589793,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,0.675463180551151,-5.500583128649989e-33
1.2,-3.141592653589793,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.675463180551151,-4.954484825701706e-17
1.2,-3.141592653589793,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,1.1001166257299979e-32,0.675463180551151,-1.6501749385949968e-32
1.2,-3.141592653589793,5.497787143782138,2.1170000166126743,2.1170000166126743,2.1170000166126743,-6.193106032127135e-17,0.6754631805511512,0.0
1.2,-3.141592653589793,6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,1.512660360378747e-32,0.675463180551151,0.0
1.2,-2.356194490192345,-6.283185307179586,2.1170000166126743,2.117000016612675,2.1170000166126743,2.4772424128508535e-17,0.6754631805511512,8.670348444977987e-17
1.2,-2.356194490192345,-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511508,2.477242412850853e-17
1.2,-2.356194490192345,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.6754631805511508,-1.1147590857828839e-16
1.2,-2.356194490192345,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511511,-1.2386212064254266e-16
1.2,-2.356194490192345,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,-6.193106032127133e-17
1.2,-2.356194490192345,-2.356194490192345,2.1170000166126743,2.117000016612675,2.1170000166126743,2.4772424128508535e-17,0.6754631805511511,0.0
1.2,-2.356194490192345,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,-6.193106032127133e-17
1.2,-2.356194490192345,-0.7853981633974483,2.1170000166126743,2.117000016612675,2.1170000166126743,2.4772424128508535e-17,0.6754631805511511,0.0
1.2,-2.356194490192345,0.0,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,-2.356194490192345,0.7853981633974483,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,0.6754631805511508,0.0
1.2,-2.356194490192345,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,6.193106032127133e-17
1.2,-2.356194490192345,2.356194490192345,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,0.6754631805511508,0.0
1.2,-2.356194490192345,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,6.193106032127133e-17
1.2,-2.356194490192345,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511511,1.2386212064254266e-16
1.2,-2.356194490192345,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.6754631805511508,1.1147590857828839e-16
1.2,-2.356194490192345,5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511508,-2.477242412850853e-17
1.2,-2.356194490192345,6.283185307179586,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,0.6754631805511508,-8.670348444977987e-17
1.2,-1.5707963267948966,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,2.4752624078924953e-32,0.675463180551151,5.500583128649989e-33
1.2,-1.5707963267948966,-5.497787143782138,2.1170000166126743,2.1170000166126743,2.1170000166126743,-6.193106032127135e-17,0.6754631805511512,0.0
1.2,-1.5707963267948966,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.062718673243746e-33,0.675463180551151,1.9252040950274964e-32
1.2,-1.5707963267948966,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.675463180551151,4.954484825701706e-17
1.2,-1.5707963267948966,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,7.563301801893735e-33,0.675463180551151,0.0
1.2,-1.5707963267948966,-2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-1.5707963267948966,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,2.7502915643249947e-33,0.675463180551151,2.7502915643249947e-33
1.2,-1.5707963267948966,-0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-1.5707963267948966,0.0,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,0.675463180551151,0.0
1.2,-1.5707963267948966,0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-1.5707963267948966,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,2.7502915643249947e-33,0.675463180551151,-2.7502915643249947e-33
1.2,-1.5707963267948966,2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,0.0
1.2,-1.5707963267948966,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,7.563301801893735e-33,0.675463180551151,0.0
1.2,-1.5707963267948966,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.675463180551151,-4.954484825701706e-17
1.2,-1.5707963267948966,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.062718673243746e-33,0.675463180551151,-1.9252040950274964e-32
1.2,-1.5707963267948966,5.497787143782138,2.1170000166126743,2.1170000166126743,2.1170000166126743,-6.193106032127135e-17,0.6754631805511512,0.0
1.2,-1.5707963267948966,6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,2.4752624078924953e-32,0.675463180551151,-5.500583128649989e-33
1.2,-0.7853981633974483,-6.283185307179586,2.1170000166126743,2.117000016612675,2.1170000166126743,2.4772424128508535e-17,0.6754631805511512,8.670348444977987e-17
1.2,-0.7853981633974483,-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511508,2.477242412850853e-17
1.2,-0.7853981633974483,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.6754631805511508,-1.1147590857828839e-16
1.2,-0.7853981633974483,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511511,-1.2386212064254266e-16
1.2,-0.7853981633974483,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,-6.193106032127133e-17
1.2,-0.7853981633974483,-2.356194490192345,2.1170000166126743,2.117000016612675,2.1170000166126743,2.4772424128508535e-17,0.6754631805511511,0.0
1.2,-0.7853981633974483,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,-6.193106032127133e-17
1.2,-0.7853981633974483,-0.7853981633974483,2.1170000166126743,2.117000016612675,2.1170000166126743,2.4772424128508535e-17,0.6754631805511511,0.0
1.2,-0.7853981633974483,0.0,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,-0.7853981633974483,0.7853981633974483,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,0.6754631805511508,0.0
1.2,-0.7853981633974483,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,6.193106032127133e-17
1.2,-0.7853981633974483,2.356194490192345,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,0.6754631805511508,0.0
1.2,-0.7853981633974483,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,6.193106032127133e-17
1.2,-0.7853981633974483,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511511,1.2386212064254266e-16
1.2,-0.7853981633974483,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,2.477242412850853e-17,0.6754631805511508,1.1147590857828839e-16
1.2,-0.7853981633974483,5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,6.193106032127133e-17,0.6754631805511508,-2.477242412850853e-17
1.2,-0.7853981633974483,6.283185307179586,2.117000016612675,2.1170000166126743,2.117000016612675,2.4772424128508535e-17,0.6754631805511508,-8.670348444977987e-17
1.2,0.0,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,-2.2002332514599957e-32
1.2,0.0,-5.497787143782138,2.1170000166126743,2.1170000166126743,2.1170000166126743,0.0,0.6754631805511512,-4.954484825701708e-17
1.2,0.0,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,2.2002332514599957e-32
1.2,0.0,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.0,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,-1.1001166257299979e-32
1.2,0.0,-2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.0,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,-5.500583128649989e-33
1.2,0.0,-0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.0,0.0,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,0.0
1.2,0.0,0.7853981633974483,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.0,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,5.500583128649989e-33
1.2,0.0,2.356194490192345,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.0,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,1.1001166257299979e-32
1.2,0.0,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.0,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,-2.2002332514599957e-32
1.2,0.0,5.497787143782138,2.1170000166126743,2.1170000166126743,2.1170000166126743,0.0,0.6754631805511512,4.954484825701708e-17
1.2,0.0,6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.675463180551151,2.2002332514599957e-32
1.2,0.7853981633974483,-6.283185307179586,2.117000016612675,2.1170000166126743,2.117000016612675,-2.4772424128508535e-17,0.6754631805511508,8.670348444977987e-17
1.2,0.7853981633974483,-5.497787143782138,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511508,2.477242412850853e-17
1.2,0.7853981633974483,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-2.477242412850853e-17,0.6754631805511508,-1.1147590857828839e-16
1.2,0.7853981633974483,-3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511511,-1.2386212064254266e-16
1.2,0.7853981633974483,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,-6.193106032127133e-17
1.2,0.7853981633974483,-2.356194490192345,2.117000016612675,2.1170000166126743,2.117000016612675,-2.4772424128508535e-17,0.6754631805511508,0.0
1.2,0.7853981633974483,-1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,-6.193106032127133e-17
1.2,0.7853981633974483,-0.7853981633974483,2.117000016612675,2.1170000166126743,2.117000016612675,-2.4772424128508535e-17,0.6754631805511508,0.0
1.2,0.7853981633974483,0.0,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,0.0
1.2,0.7853981633974483,0.7853981633974483,2.1170000166126743,2.117000016612675,2.1170000166126743,-2.4772424128508535e-17,0.6754631805511511,0.0
1.2,0.7853981633974483,1.5707963267948966,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,6.193106032127133e-17
1.2,0.7853981633974483,2.356194490192345,2.1170000166126743,2.117000016612675,2.1170000166126743,-2.4772424128508535e-17,0.6754631805511511,0.0
1.2,0.7853981633974483,3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.6754631805511508,6.193106032127133e-17
1.2,0.7853981633974483,3.9269908169872414,2.117000016612675,2.117000016612675,2.117000016612675,-6.193106032127133e-17,0.6754631805511511,1.2386212064254266e-16
1.2,0.7853981633974483,4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-2.477242412850853e-17,0.6754631805511508,1.1147590857828839e-16
